"type","age","N"
"494","LYMYLEUK",12,704
"495","LYMYLEUK",30,1783
"496","LYMYLEUK",2,1443
"497","LYMYLEUK",29,1783
"498","LYMYLEUK",11,629
"499","LYMYLEUK",49,3881
"500","LYMYLEUK",44,2955
"501","LYMYLEUK",37,2231
"502","LYMYLEUK",22,1473
"503","LYMYLEUK",13,779
"504","LYMYLEUK",3,1461
"505","LYMYLEUK",24,1497
"506","LYMYLEUK",16,986
"507","LYMYLEUK",14,925
"508","LYMYLEUK",25,1591
"509","LYMYLEUK",15,957
"510","LYMYLEUK",28,1694
"511","LYMYLEUK",4,1152
"512","LYMYLEUK",20,1296
"513","LYMYLEUK",33,1968
"514","LYMYLEUK",38,2331
"515","LYMYLEUK",39,2449
"516","LYMYLEUK",17,1141
"517","LYMYLEUK",5,896
"518","LYMYLEUK",26,1602
"519","LYMYLEUK",21,1307
"520","LYMYLEUK",9,592
"521","LYMYLEUK",23,1416
"522","LYMYLEUK",7,660
"523","LYMYLEUK",34,2002
"524","LYMYLEUK",36,2165
"525","LYMYLEUK",8,606
"526","LYMYLEUK",6,729
"527","LYMYLEUK",999,37
"528","LYMYLEUK",99,117
"529","LYMYLEUK",102,28
"530","LYMYLEUK",101,32
"531","LYMYLEUK",103,13
"532","LYMYLEUK",104,12
"533","LYMYLEUK",109,1
"534","LYMYLEUK",106,4
"535","LYMYLEUK",111,1
"536","MALEGEN",88,4178
"537","MALEGEN",75,20546
"538","MALEGEN",61,16359
"539","MALEGEN",91,1884
"540","MALEGEN",70,22894
"541","MALEGEN",73,22879
"542","MALEGEN",74,21749
"543","MALEGEN",89,3373
"544","MALEGEN",59,14167
"545","MALEGEN",69,23522
"546","MALEGEN",79,14920
"547","MALEGEN",77,18181
"548","MALEGEN",78,16893
"549","MALEGEN",76,19447
"550","MALEGEN",72,23032
"551","MALEGEN",83,9611
"552","MALEGEN",81,12049
"553","MALEGEN",80,12938
"554","MALEGEN",68,23290
"555","MALEGEN",86,5970
"556","MALEGEN",64,19932
"557","MALEGEN",87,4977
"558","MALEGEN",82,10741
"559","MALEGEN",84,8449
"560","MALEGEN",105,8
"561","MALEGEN",71,22813
"562","MALEGEN",85,7159
"563","MALEGEN",92,1525
"564","MALEGEN",93,1136
"565","MALEGEN",62,17588
"566","MALEGEN",46,1772
"567","MALEGEN",40,931
"568","MALEGEN",57,11413
"569","MALEGEN",99,97
"570","MALEGEN",90,2447
"571","MALEGEN",94,803
"572","MALEGEN",95,561
"573","MALEGEN",96,423
"574","MALEGEN",98,190
"575","MALEGEN",97,262
"576","MALEGEN",30,1047
"577","MALEGEN",67,22622
"578","MALEGEN",63,18890
"579","MALEGEN",65,22044
"580","MALEGEN",66,22112
"581","MALEGEN",52,5729
"582","MALEGEN",104,6
"583","MALEGEN",60,15292
"584","MALEGEN",41,936
"585","MALEGEN",55,9220
"586","MALEGEN",54,7755
"587","MALEGEN",53,6745
"588","MALEGEN",58,12781
"589","MALEGEN",28,1033
"590","MALEGEN",48,2551
"591","MALEGEN",56,10226
"592","MALEGEN",17,246
"593","MALEGEN",49,3195
"594","MALEGEN",51,5047
"595","MALEGEN",47,2102
"596","MALEGEN",20,471
"597","MALEGEN",25,879
"598","MALEGEN",26,964
"599","MALEGEN",21,608
"600","MALEGEN",33,1021
"601","MALEGEN",43,1057
"602","MALEGEN",29,1107
"603","MALEGEN",34,1010
"604","MALEGEN",24,813
"605","MALEGEN",45,1467
"606","MALEGEN",44,1194
"607","MALEGEN",35,980
"608","MALEGEN",32,1016
"609","MALEGEN",27,1046
"610","MALEGEN",36,881
"611","MALEGEN",50,4326
"612","MALEGEN",19,384
"613","MALEGEN",39,819
"614","MALEGEN",37,863
"615","MALEGEN",18,329
"616","MALEGEN",22,725
"617","MALEGEN",0,61
"618","MALEGEN",38,851
"619","MALEGEN",31,1056
"620","MALEGEN",16,150
"621","MALEGEN",100,55
"622","MALEGEN",23,771
"623","MALEGEN",14,40
"624","MALEGEN",15,97
"625","MALEGEN",42,1010
"626","MALEGEN",7,8
"627","MALEGEN",6,8
"628","MALEGEN",9,7
"629","MALEGEN",101,48
"630","MALEGEN",1,69
"631","MALEGEN",12,7
"632","MALEGEN",3,20
"633","MALEGEN",103,20
"634","MALEGEN",2,36
"635","MALEGEN",4,19
"636","MALEGEN",5,13
"637","MALEGEN",13,23
"638","MALEGEN",8,9
"639","MALEGEN",102,28
"640","MALEGEN",999,114
"641","MALEGEN",10,2
"642","MALEGEN",108,2
"643","MALEGEN",11,4
"644","MALEGEN",109,1
"645","MALEGEN",107,2
"646","MALEGEN",106,4
"647","OTHER",71,14844
"648","OTHER",79,12492
"649","OTHER",86,7460
"650","OTHER",60,14702
"651","OTHER",78,12839
"652","OTHER",73,14396
"653","OTHER",82,10776
"654","OTHER",43,9095
"655","OTHER",68,14934
"656","OTHER",76,13726
"657","OTHER",26,3877
"658","OTHER",35,6832
"659","OTHER",55,13587
"660","OTHER",90,3943
"661","OTHER",81,11286
"662","OTHER",70,14619
"663","OTHER",69,14845
"664","OTHER",62,15014
"665","OTHER",80,11811
"666","OTHER",74,14230
"667","OTHER",39,7872
"668","OTHER",77,13314
"669","OTHER",61,14686
"670","OTHER",72,14394
"671","OTHER",75,13747
"672","OTHER",64,14878
"673","OTHER",56,13738
"674","OTHER",32,5868
"675","OTHER",58,14620
"676","OTHER",50,11748
"677","OTHER",87,6500
"678","OTHER",93,1977
"679","OTHER",65,15506
"680","OTHER",92,2618
"681","OTHER",94,1487
"682","OTHER",83,9990
"683","OTHER",57,14181
"684","OTHER",59,14561
"685","OTHER",66,15023
"686","OTHER",84,9244
"687","OTHER",85,8270
"688","OTHER",89,4772
"689","OTHER",88,5633
"690","OTHER",91,3217
"691","OTHER",53,13074
"692","OTHER",99,238
"693","OTHER",54,13332
"694","OTHER",28,4464
"695","OTHER",52,12724
"696","OTHER",96,803
"697","OTHER",46,10064
"698","OTHER",67,15011
"699","OTHER",51,12238
"700","OTHER",63,14971
"701","OTHER",95,1117
"702","OTHER",45,9816
"703","OTHER",29,5065
"704","OTHER",101,98
"705","OTHER",36,6987
"706","OTHER",49,11351
"707","OTHER",40,8255
"708","OTHER",27,4288
"709","OTHER",47,10567
"710","OTHER",97,529
"711","OTHER",42,8833
"712","OTHER",37,7341
"713","OTHER",31,5673
"714","OTHER",44,9247
"715","OTHER",9,720
"716","OTHER",41,8337
"717","OTHER",48,11290
"718","OTHER",98,373
"719","OTHER",33,6260
"720","OTHER",16,1386
"721","OTHER",30,5425
"722","OTHER",19,1686
"723","OTHER",25,3573
"724","OTHER",34,6378
"725","OTHER",21,2255
"726","OTHER",13,1075
"727","OTHER",11,868
"728","OTHER",15,1326
"729","OTHER",3,986
"730","OTHER",24,3195
"731","OTHER",22,2394
"732","OTHER",23,2825
"733","OTHER",8,766
"734","OTHER",18,1683
"735","OTHER",7,780
"736","OTHER",10,812
"737","OTHER",20,1975
"738","OTHER",0,2051
"739","OTHER",5,812
"740","OTHER",4,871
"741","OTHER",38,7698
"742","OTHER",1,1379
"743","OTHER",14,1211
"744","OTHER",2,1132
"745","OTHER",12,972
"746","OTHER",6,755
"747","OTHER",17,1519
"748","OTHER",100,151
"749","OTHER",999,183
"750","OTHER",104,18
"751","OTHER",102,67
"752","OTHER",105,6
"753","OTHER",106,10
"754","OTHER",103,39
"755","OTHER",109,2
"756","OTHER",107,4
"757","OTHER",113,1
"758","OTHER",108,1
"759","RESPIR",81,12628
"760","RESPIR",88,4246
"761","RESPIR",76,18740
"762","RESPIR",64,19001
"763","RESPIR",66,20422
"764","RESPIR",77,17548
"765","RESPIR",82,11422
"766","RESPIR",68,21285
"767","RESPIR",84,8792
"768","RESPIR",83,10220
"769","RESPIR",46,3912
"770","RESPIR",58,13999
"771","RESPIR",63,18517
"772","RESPIR",60,16101
"773","RESPIR",71,21060
"774","RESPIR",51,7826
"775","RESPIR",50,6888
"776","RESPIR",85,7391
"777","RESPIR",67,20810
"778","RESPIR",79,15176
"779","RESPIR",72,20796
"780","RESPIR",78,16446
"781","RESPIR",70,21100
"782","RESPIR",55,11263
"783","RESPIR",73,20447
"784","RESPIR",74,19833
"785","RESPIR",62,17662
"786","RESPIR",54,10202
"787","RESPIR",69,21452
"788","RESPIR",61,16842
"789","RESPIR",89,3360
"790","RESPIR",57,13010
"791","RESPIR",75,19274
"792","RESPIR",59,15177
"793","RESPIR",53,9264
"794","RESPIR",87,5256
"795","RESPIR",49,5975
"796","RESPIR",43,2422
"797","RESPIR",80,13843
"798","RESPIR",91,1965
"799","RESPIR",90,2515
"800","RESPIR",65,20282
"801","RESPIR",86,6354
"802","RESPIR",44,2820
"803","RESPIR",98,177
"804","RESPIR",56,12054
"805","RESPIR",41,1750
"806","RESPIR",95,606
"807","RESPIR",45,3285
"808","RESPIR",52,8424
"809","RESPIR",93,1104
"810","RESPIR",94,767
"811","RESPIR",42,2034
"812","RESPIR",92,1523
"813","RESPIR",36,647
"814","RESPIR",35,517
"815","RESPIR",97,266
"816","RESPIR",48,5157
"817","RESPIR",96,415
"818","RESPIR",39,1187
"819","RESPIR",47,4597
"820","RESPIR",37,808
"821","RESPIR",29,157
"822","RESPIR",38,954
"823","RESPIR",40,1438
"824","RESPIR",22,82
"825","RESPIR",25,107
"826","RESPIR",27,135
"827","RESPIR",33,342
"828","RESPIR",30,185
"829","RESPIR",17,43
"830","RESPIR",34,442
"831","RESPIR",18,54
"832","RESPIR",9,15
"833","RESPIR",26,123
"834","RESPIR",32,347
"835","RESPIR",0,143
"836","RESPIR",31,280
"837","RESPIR",28,159
"838","RESPIR",24,111
"839","RESPIR",19,71
"840","RESPIR",21,92
